time,from,to,value
79.00,c1.out_0,c2.in_0,0
79.00,c1.out_0,c2.in_0,0
79.00,c2.out_1,c3.in_0,0
80.00,c2.out_1,c3.in_0,1
80.00,c1.out_0,c2.in_0,1
80.00,c1.out_0,c2.in_0,1
80.00,c2.out_1,c3.in_0,1
81.00,c2.out_1,c3.in_0,1
81.00,c1.out_0,c2.in_0,1
81.00,c1.out_0,c2.in_0,1
81.00,c2.out_1,c3.in_0,1
82.00,c2.out_1,c3.in_0,0
82.00,c1.out_0,c2.in_0,0
82.00,c1.out_0,c2.in_0,0
82.00,c2.out_1,c3.in_0,0
83.00,c2.out_1,c3.in_0,0
83.00,c1.out_0,c2.in_0,0
83.00,c1.out_0,c2.in_0,0
83.00,c2.out_1,c3.in_0,0
84.00,c2.out_1,c3.in_0,1
84.00,c1.out_0,c2.in_0,1
84.00,c1.out_0,c2.in_0,1
84.00,c2.out_1,c3.in_0,1
85.00,c2.out_1,c3.in_0,1
85.00,c1.out_0,c2.in_0,1
85.00,c1.out_0,c2.in_0,1
85.00,c2.out_1,c3.in_0,1
86.00,c2.out_1,c3.in_0,1
86.00,c1.out_0,c2.in_0,1
86.00,c1.out_0,c2.in_0,1
86.00,c2.out_1,c3.in_0,1
87.00,c2.out_1,c3.in_0,1
87.00,c1.out_0,c2.in_0,1
87.00,c1.out_0,c2.in_0,1
87.00,c2.out_1,c3.in_0,1
88.00,c2.out_1,c3.in_0,0
88.00,c1.out_0,c2.in_0,0
88.00,c1.out_0,c2.in_0,0
88.00,c2.out_1,c3.in_0,0
89.00,c2.out_1,c3.in_0,1
89.00,c1.out_0,c2.in_0,1
89.00,c1.out_0,c2.in_0,1
89.00,c2.out_1,c3.in_0,1
90.00,c2.out_1,c3.in_0,0
90.00,c1.out_0,c2.in_0,0
90.00,c1.out_0,c2.in_0,0
90.00,c2.out_1,c3.in_0,0
91.00,c2.out_1,c3.in_0,1
91.00,c1.out_0,c2.in_0,1
91.00,c1.out_0,c2.in_0,1
91.00,c2.out_1,c3.in_0,1
92.00,c2.out_1,c3.in_0,1
92.00,c1.out_0,c2.in_0,1
92.00,c1.out_0,c2.in_0,1
92.00,c2.out_1,c3.in_0,1
93.00,c2.out_1,c3.in_0,1
93.00,c1.out_0,c2.in_0,1
93.00,c1.out_0,c2.in_0,1
93.00,c2.out_1,c3.in_0,1
94.00,c2.out_1,c3.in_0,0
94.00,c1.out_0,c2.in_0,0
94.00,c1.out_0,c2.in_0,0
94.00,c2.out_1,c3.in_0,0
95.00,c2.out_1,c3.in_0,0
95.00,c1.out_0,c2.in_0,0
95.00,c1.out_0,c2.in_0,0
95.00,c2.out_1,c3.in_0,0
96.00,c2.out_1,c3.in_0,1
96.00,c1.out_0,c2.in_0,1
96.00,c1.out_0,c2.in_0,1
96.00,c2.out_1,c3.in_0,1
97.00,c2.out_1,c3.in_0,1
97.00,c1.out_0,c2.in_0,1
97.00,c1.out_0,c2.in_0,1
97.00,c2.out_1,c3.in_0,1
98.00,c2.out_1,c3.in_0,0
98.00,c1.out_0,c2.in_0,0
98.00,c1.out_0,c2.in_0,0
98.00,c2.out_1,c3.in_0,0
99.00,c2.out_1,c3.in_0,1
99.00,c1.out_0,c2.in_0,1
99.00,c1.out_0,c2.in_0,1
99.00,c2.out_1,c3.in_0,1
100.00,c2.out_1,c3.in_0,0
100.00,c1.out_0,c2.in_0,0
100.00,c1.out_0,c2.in_0,0
100.00,c2.out_1,c3.in_0,0
101.00,c2.out_1,c3.in_0,0
